date_id,date_key,year,quarter,month_number,month_name,week_of_year,day_of_month,day_name,is_weekend,year_month
20160904,2016-09-04,2016,3,9,September,36,4,Sunday,Weekend,2016-09
20160905,2016-09-05,2016,3,9,September,36,5,Monday,Weekday,2016-09
20161002,2016-10-02,2016,4,10,October,40,2,Sunday,Weekend,2016-10
20161003,2016-10-03,2016,4,10,October,40,3,Monday,Weekday,2016-10
20161004,2016-10-04,2016,4,10,October,40,4,Tuesday,Weekday,2016-10
20161005,2016-10-05,2016,4,10,October,40,5,Wednesday,Weekday,2016-10
20161006,2016-10-06,2016,4,10,October,40,6,Thursday,Weekday,2016-10
20161007,2016-10-07,2016,4,10,October,40,7,Friday,Weekday,2016-10
20161008,2016-10-08,2016,4,10,October,40,8,Saturday,Weekend,2016-10
20161009,2016-10-09,2016,4,10,October,41,9,Sunday,Weekend,2016-10
20161010,2016-10-10,2016,4,10,October,41,10,Monday,Weekday,2016-10
20161223,2016-12-23,2016,4,12,December,51,23,Friday,Weekday,2016-12
20170105,2017-01-05,2017,1,1,January,1,5,Thursday,Weekday,2017-01
20170106,2017-01-06,2017,1,1,January,1,6,Friday,Weekday,2017-01
20170107,2017-01-07,2017,1,1,January,1,7,Saturday,Weekend,2017-01
20170108,2017-01-08,2017,1,1,January,2,8,Sunday,Weekend,2017-01
20170109,2017-01-09,2017,1,1,January,2,9,Monday,Weekday,2017-01
20170110,2017-01-10,2017,1,1,January,2,10,Tuesday,Weekday,2017-01
20170111,2017-01-11,2017,1,1,January,2,11,Wednesday,Weekday,2017-01
20170112,2017-01-12,2017,1,1,January,2,12,Thursday,Weekday,2017-01
20170113,2017-01-13,2017,1,1,January,2,13,Friday,Weekday,2017-01
20170114,2017-01-14,2017,1,1,January,2,14,Saturday,Weekend,2017-01
20170115,2017-01-15,2017,1,1,January,3,15,Sunday,Weekend,2017-01
20170116,2017-01-16,2017,1,1,January,3,16,Monday,Weekday,2017-01
20170117,2017-01-17,2017,1,1,January,3,17,Tuesday,Weekday,2017-01
20170118,2017-01-18,2017,1,1,January,3,18,Wednesday,Weekday,2017-01
20170119,2017-01-19,2017,1,1,January,3,19,Thursday,Weekday,2017-01
20170120,2017-01-20,2017,1,1,January,3,20,Friday,Weekday,2017-01
20170121,2017-01-21,2017,1,1,January,3,21,Saturday,Weekend,2017-01
20170122,2017-01-22,2017,1,1,January,4,22,Sunday,Weekend,2017-01
20170123,2017-01-23,2017,1,1,January,4,23,Monday,Weekday,2017-01
20170124,2017-01-24,2017,1,1,January,4,24,Tuesday,Weekday,2017-01
20170125,2017-01-25,2017,1,1,January,4,25,Wednesday,Weekday,2017-01
20170126,2017-01-26,2017,1,1,January,4,26,Thursday,Weekday,2017-01
20170127,2017-01-27,2017,1,1,January,4,27,Friday,Weekday,2017-01
20170128,2017-01-28,2017,1,1,January,4,28,Saturday,Weekend,2017-01
20170129,2017-01-29,2017,1,1,January,5,29,Sunday,Weekend,2017-01
20170130,2017-01-30,2017,1,1,January,5,30,Monday,Weekday,2017-01
20170131,2017-01-31,2017,1,1,January,5,31,Tuesday,Weekday,2017-01
20170201,2017-02-01,2017,1,2,February,5,1,Wednesday,Weekday,2017-02
20170202,2017-02-02,2017,1,2,February,5,2,Thursday,Weekday,2017-02
20170203,2017-02-03,2017,1,2,February,5,3,Friday,Weekday,2017-02
20170204,2017-02-04,2017,1,2,February,5,4,Saturday,Weekend,2017-02
20170205,2017-02-05,2017,1,2,February,6,5,Sunday,Weekend,2017-02
20170206,2017-02-06,2017,1,2,February,6,6,Monday,Weekday,2017-02
20170207,2017-02-07,2017,1,2,February,6,7,Tuesday,Weekday,2017-02
20170208,2017-02-08,2017,1,2,February,6,8,Wednesday,Weekday,2017-02
20170209,2017-02-09,2017,1,2,February,6,9,Thursday,Weekday,2017-02
20170210,2017-02-10,2017,1,2,February,6,10,Friday,Weekday,2017-02
20170211,2017-02-11,2017,1,2,February,6,11,Saturday,Weekend,2017-02
20170212,2017-02-12,2017,1,2,February,7,12,Sunday,Weekend,2017-02
20170213,2017-02-13,2017,1,2,February,7,13,Monday,Weekday,2017-02
20170214,2017-02-14,2017,1,2,February,7,14,Tuesday,Weekday,2017-02
20170215,2017-02-15,2017,1,2,February,7,15,Wednesday,Weekday,2017-02
20170216,2017-02-16,2017,1,2,February,7,16,Thursday,Weekday,2017-02
20170217,2017-02-17,2017,1,2,February,7,17,Friday,Weekday,2017-02
20170218,2017-02-18,2017,1,2,February,7,18,Saturday,Weekend,2017-02
20170219,2017-02-19,2017,1,2,February,8,19,Sunday,Weekend,2017-02
20170220,2017-02-20,2017,1,2,February,8,20,Monday,Weekday,2017-02
20170221,2017-02-21,2017,1,2,February,8,21,Tuesday,Weekday,2017-02
20170222,2017-02-22,2017,1,2,February,8,22,Wednesday,Weekday,2017-02
20170223,2017-02-23,2017,1,2,February,8,23,Thursday,Weekday,2017-02
20170224,2017-02-24,2017,1,2,February,8,24,Friday,Weekday,2017-02
20170225,2017-02-25,2017,1,2,February,8,25,Saturday,Weekend,2017-02
20170226,2017-02-26,2017,1,2,February,9,26,Sunday,Weekend,2017-02
20170227,2017-02-27,2017,1,2,February,9,27,Monday,Weekday,2017-02
20170228,2017-02-28,2017,1,2,February,9,28,Tuesday,Weekday,2017-02
20170301,2017-03-01,2017,1,3,March,9,1,Wednesday,Weekday,2017-03
20170302,2017-03-02,2017,1,3,March,9,2,Thursday,Weekday,2017-03
20170303,2017-03-03,2017,1,3,March,9,3,Friday,Weekday,2017-03
